Id,plot,subplot,flag,pid,area_ac,bnd_km
0,168,,,504,5.505,0.389
0,165,,,505,4.018,0.846
0,166,,,506,14.936,0.915
0,165,,,507,2.610,0.724
0,165,,,508,5.504,0.769
0,164,,,509,3.713,1.106
0,165,,,510,5.102,0.902
0,164,,,511,13.786,1.001
0,163,,,512,24.170,0.894
0,162,,,513,9.432,0.781
0,161,,,514,4.654,0.864
0,161,,,515,4.343,0.914
0,164,,,516,3.553,0.966
0,161,,,517,3.818,0.929
0,157,,,518,10.231,0.716
0,158,,,519,1.518,0.786
0,158,,,520,4.648,0.763
0,159,,,521,4.043,0.554
0,159,,,522,5.380,0.641
0,160,,,523,12.779,0.596
0,169,,,524,14.551,0.172
0,170,,not field,525,15.665,0.000
0,47,,,526,3.339,0.535
0,47,,,527,3.701,0.477
0,47,,,528,18.328,0.172
0,47,,,529,6.250,0.628
0,46,,,530,7.932,0.200
0,45,,,531,2.529,0.002
0,44,,,532,1.031,0.108
0,44,,,533,2.216,0.000
0,44,,,534,1.056,0.107
0,44,,,535,1.526,0.000
0,44,,,536,1.177,0.000
0,44,,,537,1.875,0.123
0,39,,,538,14.409,0.274
0,41,,,539,10.636,0.218
0,40,,,540,2.692,0.477
0,40,,,541,1.640,0.493
0,40,,,542,2.482,0.506
0,196,,,543,13.177,1.329
0,196,,,544,48.622,1.257
0,148,,,545,10.974,1.234
0,147,,,546,19.586,1.285
0,150,,,547,8.279,0.895
0,149,,,548,10.751,1.083
0,151,,,549,2.673,0.796
0,151,,,550,3.695,0.819
0,152,,,551,1.128,0.796
0,152,,,552,2.934,0.833
0,152,,,553,3.289,1.008
0,152,,,554,4.501,0.907
0,144,,,555,5.082,1.074
0,146,,,556,7.540,1.269
0,146,,,557,11.966,1.269
0,145,,,558,15.421,1.086
0,134,,,559,12.087,1.164
0,136,,,560,9.232,1.116
0,136,,,561,0.991,1.117
0,136,,,562,1.342,1.092
0,135,,,563,14.370,1.138
0,137,,,564,1.533,1.024
0,137,,,565,1.623,1.041
0,137,,,566,2.659,1.085
0,137,,unclear,567,3.335,1.055
0,201,,,568,6.463,1.470
0,201,,,569,3.223,1.521
0,201,,,570,9.634,1.527
0,200,,,571,11.921,1.655
0,200,,,572,0.238,1.660
0,200,,,573,0.791,1.600
0,200,,,574,2.997,1.463
0,200,,,575,3.110,1.452
0,202,,,576,9.815,1.251
0,203,,,577,7.795,1.135
0,218,,,578,3.788,0.930
0,218,,,579,11.882,0.971
0,118,,,580,11.071,0.746
0,219,,,581,3.388,0.786
0,217,,,582,3.254,0.792
0,217,,,583,4.934,0.819
0,204,,,584,5.215,1.130
0,216,,,585,4.855,0.819
0,215,,,586,4.760,0.813
0,214,,,587,2.008,0.738
0,214,,,588,1.996,0.772
0,214,,,589,2.196,0.808
0,214,,,590,1.880,0.928
0,214,,,591,2.968,0.853
0,215,,,592,3.887,0.882
0,213,,,593,2.660,0.701
0,213,,,594,4.737,0.666
0,140,,,595,2.330,0.956
0,140,,,596,7.214,0.778
0,141,,,597,9.951,0.728
0,143,,,598,4.450,0.834
0,143,,,599,4.815,0.993
0,143,,,600,11.464,0.908
0,142,,,601,6.542,0.633
0,142,,,602,6.942,0.737
0,153,,,603,6.205,0.610
0,143,,,604,4.565,0.915
0,154,,,605,5.218,0.689
0,154,,,606,4.761,0.649
0,154,,,607,4.283,0.633
0,154,,,608,1.818,0.626
0,154,,,609,1.452,0.620
0,154,,,610,2.508,0.610
0,156,,,611,17.599,0.378
0,,,unclear num,612,12.127,0.352
0,48,,,613,23.713,0.403
0,49,,,614,13.233,0.279
0,64,,,615,11.911,0.047
0,75,,,616,4.442,0.372
0,75,,,617,0.894,0.529
0,75,,,618,5.144,0.544
0,75,,,619,5.226,0.438
0,76,,,620,10.273,0.560
0,77,,,621,14.321,0.389
0,73,,,622,5.696,0.483
0,72,,,623,10.751,0.355
0,74,,,624,9.304,0.237
0,71,,,625,6.337,0.255
0,65,,,626,15.796,0.128
0,209,,,627,1.544,0.680
0,209,,,628,5.700,0.706
0,209,,,629,2.230,0.845
0,209,,,630,5.203,0.742
0,210,,,631,3.555,0.631
0,212,,,632,2.774,0.497
0,211,,,633,13.310,0.476
0,227,,,634,4.259,0.000
0,227,,,635,8.190,0.160
0,225,,,636,2.686,0.000
0,224,,,637,0.498,0.087
0,224,,,638,5.014,0.000
0,226,,,639,4.025,0.000
0,224,,,640,0.759,0.146
0,224,,,641,3.390,0.000
0,223,,not field,642,27.995,0.072
0,222,,unclear subplots,643,11.659,0.409
0,221,,not field,644,3.252,0.403
0,221,,,645,5.545,0.415
0,221,,,646,6.000,0.594
0,220,,,647,3.965,0.616
0,220,,,648,2.639,0.562
0,220,,not field,649,4.133,0.482
0,139,,,650,3.868,1.012
0,139,,,651,5.429,0.995
0,139,,,652,1.048,0.947
0,119,,,653,1.901,0.863
0,119,,,654,0.960,0.689
0,119,,unclear,655,0.084,0.748
0,119,,,656,1.742,0.620
0,119,,,657,5.118,0.647
0,120,,,658,1.135,0.773
0,120,,,659,1.267,0.651
0,119,,,660,1.963,0.798
0,119,,,661,2.207,0.617
0,120,,,662,0.234,0.790
0,120,,,663,0.299,0.809
0,120,,,664,0.648,0.749
0,132,,,665,1.045,0.808
0,132,,,666,1.440,0.846
0,132,,,667,0.984,0.889
0,132,,,668,1.319,1.014
0,132,,,669,4.934,0.922
0,131,,,670,0.777,0.904
0,131,,,671,1.579,0.908
0,131,,,672,0.652,0.998
0,131,,,673,0.252,1.008
0,131,,,674,1.243,1.011
0,139,,,675,3.026,0.887
0,131,,,676,3.236,0.910
0,116,,,677,0.885,0.598
0,120,,,678,4.244,0.578
0,115,,,679,1.876,0.533
0,114,,,680,2.239,0.474
0,112,,,681,2.224,0.423
0,112,,,682,1.173,0.451
0,112,,,683,1.346,0.473
0,112,,,684,2.499,0.416
0,110,,,685,5.322,0.301
0,111,,,686,1.373,0.279
0,107,,,687,0.425,0.170
0,107,,,688,0.402,0.195
0,107,,,689,0.996,0.261
0,107,,,690,0.608,0.202
0,107,,,691,1.673,0.211
0,107,,,692,2.284,0.239
0,106,,,693,0.293,0.202
0,106,,,694,0.360,0.224
0,105,,,695,1.050,0.017
0,105,,,696,8.157,0.038
0,104,,,697,4.373,0.000
0,104,,,698,5.868,0.000
0,117,,not field,699,125.742,0.000
0,66,,,700,5.054,0.031
0,66,,,701,3.851,0.000
0,67,,,702,2.864,0.000
0,66,,,703,5.138,0.000
0,69,,,704,1.607,0.000
0,69,,,705,7.799,0.000
0,68,,,706,15.355,0.004
0,69,,,707,4.046,0.000
0,70,,,708,4.746,0.163
0,70,,,709,10.600,0.182
0,81,,,710,4.234,0.051
0,81,,,711,4.799,0.000
0,82,,,712,1.387,0.000
0,82,,,713,1.862,0.042
0,83,,,714,2.015,0.105
0,83,,,715,2.969,0.293
0,81,,,716,8.143,0.000
0,80,,,717,0.420,0.271
0,80,,,718,1.667,0.284
0,80,,,719,2.130,0.338
0,80,,,720,4.686,0.403
0,83,,,721,6.235,0.159
0,79,,,722,1.409,0.547
0,79,,,723,0.515,0.434
0,79,,,724,8.730,0.306
0,78,,,725,3.826,0.598
0,56,,,726,5.421,0.582
0,56,,,727,4.179,0.812
0,56,,,728,1.420,0.777
0,56,,,729,4.952,0.611
0,56,,,730,0.257,0.609
0,56,,,731,1.299,0.621
0,56,,,732,0.755,0.671
0,56,,,733,1.115,0.715
0,52,,,734,4.766,0.497
0,53,,,735,1.706,0.535
0,53,,,736,5.414,0.690
0,54,,,737,4.919,0.620
0,52,,,738,4.335,0.595
0,55,,,739,1.828,0.753
0,55,,,740,4.859,0.694
0,56,,,741,1.022,0.609
0,54,,,742,2.279,0.684
0,57,,,743,8.341,0.532
0,30,,,744,3.143,0.323
0,30,,,745,4.419,0.437
0,31,,,746,6.626,0.132
0,37,,,747,0.256,0.219
0,37,,,748,0.359,0.170
0,37,,,749,0.287,0.219
0,37,,,750,0.369,0.169
0,37,,,751,0.298,0.134
0,37,,,752,1.066,0.134
0,37,,,753,1.024,0.104
0,37,,,754,0.866,0.039
0,37,,,755,0.887,0.096
0,37,,unclear,756,2.537,0.034
0,37,,,757,0.638,0.221
0,37,,,758,1.482,0.181
0,37,,,759,0.870,0.147
0,37,,,760,0.404,0.154
0,37,,,761,0.622,0.163
0,38,,,762,1.212,0.167
0,43,,,763,0.477,0.000
0,43,,,764,3.085,0.008
0,43,,,765,1.887,0.000
0,43,,,766,2.458,0.000
0,32,,,767,2.401,0.033
0,42,,not field,768,2.599,0.156
0,43,,,769,0.494,0.000
0,36,,,770,3.104,0.000
0,35,,,771,1.239,0.000
0,50,,,772,2.004,0.292
0,50,,,773,4.741,0.268
0,51,,,774,2.452,0.370
0,51,,,775,2.279,0.401
0,51,,,776,3.731,0.430
0,63,,,777,3.706,0.000
0,63,,,778,4.211,0.000
0,63,,,779,4.622,0.000
0,63,,,780,3.560,0.000
0,63,,,781,4.067,0.000
0,63,,,782,6.113,0.000
0,2,,,783,3.780,0.000
0,2,,,784,4.952,0.000
0,1,,,785,5.175,0.000
0,1,,,786,5.120,0.000
0,2,,,787,16.365,0.000
0,8,,,788,8.289,0.064
0,9,,,789,3.484,0.000
0,9,,,790,3.148,0.000
0,10,,,791,8.432,0.000
0,9,,,792,2.015,0.056
0,7,,,793,0.412,0.258
0,7,,,794,0.555,0.230
0,7,,,795,6.589,0.087
0,4,,,796,2.008,0.262
0,4,,,797,3.091,0.229
0,5,,,798,1.520,0.286
0,5,,,799,4.465,0.314
0,62,,,800,1.789,0.268
0,62,,,801,4.920,0.263
0,5,,,802,5.520,0.290
0,61,,,803,2.683,0.444
