plot,sub,flag,pid,area_ac,bnd_km
208,,,0,6.490,0.000
207,,,1,14.991,0.000
206,,,2,10.588,0.000
205,,,3,7.009,0.070
209,,,4,1.964,0.029
209,,,5,12.614,0.000
209,,,6,1.334,0.000
210,,,7,13.544,0.000
209,,,8,6.073,0.211
209,,,9,4.644,0.280
204,,,10,6.084,0.177
209,,,11,3.627,0.341
209,,,12,3.615,0.372
203,,,13,11.840,0.282
202,,,14,10.791,0.364
211,,,15,17.285,0.000
213,,,16,16.864,0.000
214,,,17,8.703,0.000
214,,,18,2.590,0.205
212,,,19,12.632,0.218
223,,,20,10.372,0.000
239,,,21,11.760,0.000
240,,,22,8.397,0.000
242,,,23,6.669,0.000
241,,,24,6.565,0.000
244,,,25,3.463,0.000
243,,,26,3.141,0.000
245,,,27,14.394,0.000
298,,,28,10.555,0.000
299,,,29,11.263,0.000
300,,,30,5.284,0.000
301,,,31,10.339,0.000
291,,,32,0.931,0.118
292,,,33,8.691,0.123
N/A,,Unknown Plot #,34,8.901,0.000
290,,,35,6.699,0.069
N/A,,Unknown Plot #,36,0.463,0.395
289,,,37,1.844,0.407
293,,,38,15.430,0.244
297,,,39,8.234,0.244
296,,,40,7.800,0.201
215,,,41,6.632,0.320
222,,,42,10.281,0.205
238,,,43,15.422,0.144
224,,,44,15.100,0.033
237,,,45,13.260,0.214
236,,,46,11.573,0.369
225,,,47,10.192,0.552
221,,,48,5.108,0.511
201,,,49,13.373,0.397
200,,,50,14.895,0.435
216,,,51,13.467,0.479
220,,,52,9.916,0.511
226,,,53,9.917,0.489
219,,,54,5.753,0.425
218,,,55,1.612,0.314
217,,,56,13.221,0.266
199,,,57,6.256,0.358
198,,,58,9.134,0.290
N/A,,Unknown Plot #,59,0.793,0.000
197,,,60,13.343,0.066
N/A,,Unknown Plot #,61,1.264,0.000
N/A,,Unknown Plot #,62,1.129,0.000
N/A,,Unknown Plot #,63,1.524,0.000
193,,,64,2.131,0.000
N/A,,Unknown Plot #,65,1.201,0.044
196,,,66,3.078,0.111
N/A,,Unknown Plot #,67,1.104,0.069
197,,,68,0.759,0.000
N/A,,Unknown Plot #,69,0.846,0.096
195,,,70,2.346,0.112
194,,,71,1.891,0.097
191,,,72,14.815,0.032
189,,,73,7.913,0.062
192,,,74,11.198,0.000
188,,,75,12.499,0.114
180,,,76,4.317,0.000
N/A,,Unknown Plot #,77,0.600,0.031
184,,,78,1.303,0.000
187,,,79,15.309,0.000
186,,,80,2.753,0.078
178,,,81,1.805,0.185
N/A,,Unknown Plot #,82,0.969,0.000
