plot,subplot,flag,pid,area_ac,bnd_km
179,,,0,5.275,0.121
179,,,1,1.958,0.000
179,,,2,2.723,0.050
180,,,3,0.568,0.401
180,,,4,3.117,0.378
180,,,5,4.650,0.292
181,,,6,7.221,0.341
183,,,7,2.590,0.575
183,,,8,4.927,0.613
153,,,9,1.877,0.801
153,,,10,1.863,0.809
153,,,11,0.894,0.819
153,,,12,2.269,0.793
153,,,13,1.618,0.774
153,,,14,1.264,0.760
153,,,15,0.309,0.754
153,,,16,0.688,0.754
154,,,17,4.689,0.711
154,,,18,2.618,0.759
154,,,19,5.096,0.720
183,,,20,4.032,0.706
154,,,21,3.685,0.705
152,,,22,1.315,0.799
152,,,23,0.756,0.798
152,,,24,2.914,0.765
138,,,25,0.563,0.769
138,,,26,0.287,0.721
138,,,27,0.428,0.798
138,,,28,1.278,0.755
138,,,29,0.673,0.699
138,,,30,1.102,0.713
121,,,31,0.932,0.602
121,,,32,1.061,0.586
121,,,33,0.679,0.541
121,,,34,0.924,0.511
121,,,35,0.910,0.523
121,,,36,0.948,0.521
121,,,37,0.914,0.612
121,,,38,1.022,0.615
120,,,39,2.200,0.441
120,,,40,2.594,0.437
119,,,41,3.923,0.209
119,,,42,0.853,0.381
119,,,43,0.922,0.318
119,,,44,0.869,0.379
119,,,45,0.961,0.324
119,,,46,1.870,0.324
119,,,47,1.933,0.390
118,,,48,1.055,0.111
118,,,49,1.385,0.172
118,,,50,1.706,0.125
118,,,51,1.130,0.116
117,,,52,0.952,0.079
117,,,53,0.300,0.130
117,,,54,0.444,0.048
117,,,55,1.007,0.054
117,,,56,0.423,0.134
117,,,57,0.485,0.013
117,,,58,1.447,0.000
117,,,59,0.167,0.100
118,,,60,0.996,0.098
117,,,61,1.148,0.081
117,,,62,0.568,0.185
117,,,63,0.273,0.082
117,,,64,0.941,0.154
117,,,65,2.144,0.000
117,,,66,0.700,0.007
117,,,67,0.442,0.112
117,,,68,1.929,0.000
107,,,69,2.749,0.000
107,,,70,2.513,0.000
107,,,71,1.620,0.097
107,,,72,1.854,0.000
106,,,73,8.429,0.000
105,,,74,0.933,0.000
105,,,75,3.213,0.000
105,,,76,1.187,0.053
105,,,77,1.708,0.000
104,,,78,0.270,0.085
104,,,79,0.792,0.093
104,,,80,2.184,0.022
104,,,81,1.598,0.000
103,,,82,1.090,0.093
103,,,83,1.040,0.086
103,,,84,1.690,0.000
103,,,85,0.903,0.000
103,,,86,0.938,0.052
98,,,87,0.806,0.040
98,,,88,1.170,0.022
98,,,89,2.692,0.000
98,,,90,1.777,0.000
97,,,91,0.610,0.040
97,,,92,0.249,0.040
97,,,93,1.407,0.039
97,,,94,0.843,0.058
97,,,95,4.181,0.000
73,,,96,1.439,0.032
73,,,97,3.220,0.034
73,,,98,2.178,0.000
72,,,99,1.557,0.000
72,,,100,0.696,0.000
72,,,101,1.164,0.000
71,,,102,2.662,0.000
69,,,103,6.270,0.000
69,,,104,1.454,0.000
69,,,105,10.186,0.000
67,,,106,1.362,0.248
67,,,107,7.637,0.004
67,,,108,3.785,0.100
67,,,109,1.540,0.000
66,,,110,0.809,0.076
66,,,111,11.177,0.000
65,,,112,1.647,0.000
55,,,113,1.921,0.000
56,,,114,0.708,0.020
54,,,115,0.671,0.047
55,,,116,0.833,0.014
54,,,117,2.122,0.000
54,,,118,0.245,0.053
54,,,119,0.339,0.059
54,,,120,0.637,0.050
53,,,121,0.592,0.000
53,,,122,1.702,0.000
53,,,123,0.228,0.025
53,,,124,0.545,0.000
53,,,125,0.564,0.000
53,,,126,0.523,0.016
53,,,127,1.007,0.023
53,,,128,0.856,0.024
53,,,129,0.303,0.041
53,,,130,0.312,0.056
53,,,131,0.449,0.027
53,,,132,0.267,0.072
53,,,133,0.225,0.074
53,,,134,0.229,0.103
53,,,135,1.040,0.016
53,,,136,1.076,0.010
52,,,137,0.586,0.000
51,,,138,9.622,0.025
51,,,139,10.088,0.000
50,,,140,0.996,0.000
50,,,141,1.862,0.000
58,,,142,1.894,0.125
58,,,143,1.896,0.134
57,,,144,15.144,0.033
178,,,145,11.312,0.095
178,,,146,1.415,0.000
178,,,147,1.702,0.041
176,,,148,5.058,0.000
176,,,149,6.274,0.054
177,,,150,4.393,0.180
177,,,151,6.838,0.145
177,,,152,4.458,0.113
177,,,153,4.649,0.127
175,,,154,2.999,0.315
175,,,155,4.538,0.208
175,,,156,8.552,0.000
168,,,157,4.405,0.000
168,,,158,2.101,0.000
168,,,159,5.656,0.000
169,,,160,10.224,0.000
168,,,161,1.950,0.129
167,,,162,5.488,0.000
167,,,163,3.582,0.207
167,,,164,4.923,0.104
166,,,165,4.148,0.000
166,,,166,1.773,0.247
166,,,167,3.034,0.131
165,,,168,2.484,0.248
165,,,169,5.214,0.000
165,,,170,4.876,0.131
164,,,171,3.750,0.123
164,,,172,6.746,0.000
164,,,173,2.244,0.000
164,,,174,0.743,0.193
164,,,175,1.961,0.102
163,,,176,1.564,0.000
163,,,177,1.533,0.000
163,,,178,4.464,0.000
163,,,179,2.566,0.191
163,,,180,5.195,0.088
163,,,181,1.488,0.000
162,,,182,3.589,0.231
162,,,183,5.937,0.111
162,,,184,1.541,0.000
162,,,185,5.782,0.000
3,,,186,0.661,0.078
3,,,187,2.061,0.000
3,,,188,4.773,0.000
2,,,189,0.819,0.000
2,,,190,5.406,0.105
