plot,sub,flag,pid,area_ac,bnd_km
456,,,0,4.972,0
455,,,1,8.121,0
485,,,2,2.974,0
489,,,3,3.14,0
486,,,4,10.011,0.031
489,,unlabeled subplot,5,2.697,0.138
485,,unlabeled subplot,6,2.13,0
490,,,7,11.729,0
491,,,8,2.547,0
483,,,9,8.035,0.173
512,,,10,12.496,0.278
482,,,11,2.855,0.385
481,,,12,7.101,0.268
480,,,13,4.209,0.364
484,,unlabeled subplot,14,0.549,0.35
461,,,15,9.602,0.356
460,,,16,11.022,0.069
462,,,17,11.04,0.349
458,,,18,9.483,0.16
484,,,19,6.731,0.045
484,,,20,3.631,0.109
484,,,21,7.004,0.156
463,,,22,11.613,0.476
391,,,23,9.558,0.568
392,,,24,0.572,0.73
354,,,25,5.066,0.754
484,,,26,7.827,0.468
484,,unlabeled subplot,27,0.83,0.139
484,,unlabeled subplot,28,0.633,0.158
484,,unlabeled subplot,29,0.445,0.221
484,,unlabeled subplot,30,0.327,0.19
484,,,31,2.073,0.029
484,,,32,2.144,0.038
484,,,33,1.66,0.058
484,,,34,2.457,0.126
419,,,35,1.637,0.322
420,,,36,1.983,0.319
418,,,37,15.241,0.364
422,,,38,2.642,0.384
421,,,39,4.266,0.23
484,,,40,215.867,0
454,,,41,11.913,0
453,,,42,9.996,0
452,,,43,11.842,0
N/A,,Unknown Plot #,44,0.137,0.154
N/A,,Unknown Plot #,45,0.201,0.222
N/A,,Unknown Plot #,46,0.314,0.167
449,,,47,8.684,0.205
N/A,,Unknown Plot #,48,0.523,0.314
N/A,,Unknown Plot #,49,1.219,0.222
309,,,50,14.021,0.293
313,,,51,3.209,0.754
441,,unlabeled subplot,52,1.045,0.911
441,,unlabeled subplot,53,0.655,0.896
441,,,54,1.803,0.655
441,,,55,6.249,0.442
349,,,56,3.29,0.86
441,,,57,1.415,0.804
N/A,,Unknown Plot #,58,141.976,0.201
323,,,59,15.938,0.81
N/A,,Unknown Plot #,60,1.101,1.188
493,,,61,8.04,0
438,,,62,17.201,0.114
438,,,63,4.822,0.298
540,,,64,3.78,0
551,,,65,7.165,0
558,,,66,4.562,0
559,,,67,3.36,0.054
558,,,68,2.327,0
N/A,,Unknown Plot #,69,2.909,0
557,,,70,11.804,0
N/A,,Unknown Plot #,71,14.323,0.783
N/A,,Unknown Plot #,72,0.125,0.587
N/A,,Unknown Plot #,73,37.403,0.537
N/A,,Unknown Plot #,74,1.155,0.385
302,,,75,1.851,0.438
331,,,76,4.903,0.829
333,,,77,5.982,0.856
301,,,78,18.567,0.464
332,,,79,6.341,0.682
N/A,,Unknown Plot #,80,3.985,0.63
N/A,,Unknown Plot #,81,5.496,0.526
275,,,82,2.338,0.367
N/A,,Unknown Plot #,83,2.267,0.486
275,,,84,2.347,0.352
275,,,85,8.173,0.265
284,,,86,5.523,0.146
264,,,87,4.969,0.059
265,,,88,2.916,0.069
285,,,89,4.025,0.017
283,,,90,12.358,0
292,,,91,5.047,0.058
N/A,,Unknown Plot #,92,55.102,0
263,,,93,5.653,0
N/A,,Unknown Plot #,94,1.94,0
N/A,,Unknown Plot #,95,1.445,0
N/A,,Unknown Plot #,96,3.331,0
N/A,,Unknown Plot #,97,2.224,0.028
N/A,,Unknown Plot #,98,22.332,1.024
N/A,,Unknown Plot #,99,205.223,0.028
25,,,100,2.307,0.88
25,,,101,3.588,1.067
N/A,,Unknown Plot #,102,1.759,1.178
26,,,103,3.454,1.211
26,,unlabeled subplot,104,0.229,1.33
N/A,,Unknown Plot #,105,28.624,0
48,,,106,2.523,0
N/A,,Unknown Plot #,107,0.743,0
49,,,108,17.033,0
47,,,109,7.529,0.138
56,,,110,10.797,0.248
N/A,,Unknown Plot #,111,3.637,0.213
41,,,112,5.326,0.364
42,,,113,2.111,0.446
72,,,114,6.948,0.433
73,,,115,2.189,0.523
N/A,,Unknown Plot #,116,3.514,0.568
43,,,117,5.966,0.613
N/A,,Unknown Plot #,118,5.469,0.552
N/A,,Unknown Plot #,119,1.211,0.831
35,,,120,2.302,0.799
27,,,121,7.925,0.861
25,,,122,8.307,1.04
26,,,123,10.961,0.901
24,,,124,11.163,1.328
10,,,125,3.858,1.357
9,,,126,6.422,1.173
7,,,127,11.226,0.894
272,,,128,11.464,0.562
271,,,129,16.708,0.353
270,,,130,17.748,0.236
N/A,,Unknown Plot #,131,1.686,0.359
299,,,132,1.398,0.194
N/A,,Unknown Plot #,133,2.776,0.286
251,,,134,2.27,0.569
251,,,135,6.291,0.577
253,,,136,2.771,0.592
253,,,137,11.195,0.365
256,,,138,2.514,0.22
257,,,139,13.215,0.091
2xx,,"Plot # Likely Not ""2""",140,11.544,0
8,,,141,8.547,1.063
11,,,142,9.65,1.325
23,,,143,18.565,0.979
13,,,144,10.16,0.853
N/A,,Unknown Plot #,145,3.374,1.032
12,,,146,7.572,1.226
N/A,,Unknown Plot #,147,2.558,1.275
22,,,148,17.986,1.109
20,,,149,15.449,1.166
16,,,150,2.938,1.054
248,,,151,19.102,0.584
N/A,,Unknown Plot #,152,4.608,0.778
N/A,,Unknown Plot #,153,3.582,0.659
17,,,154,6.735,1.087
245,,,155,12.108,0.719
244,,,156,2.457,0.88
N/A,,Unknown Plot #,157,1.587,1.048
19,,,158,6.731,1.293
117,,,159,6.795,0.909
114,,,160,0.958,0.864
110,,,161,6.845,0.748
116,,,162,13.593,0.911
115,,,163,1.494,0.923
N/A,,Unknown Plot #,164,95.18,0
137,,,165,2.173,0
139,,,166,1.12,0
N/A,,Unknown Plot #,167,4.421,0.025
131,,,168,1.399,0
140,,,169,8.691,0.026
130,,,170,3.477,0.189
132,,,171,4.028,0.142
129,,,172,11.241,0.069
126,,,173,10.342,0.305
127,,,174,2.284,0.504
157,,,175,2.375,0
N/A,,Unknown Plot #,176,1.178,0
156,,,177,3.496,0.109
158,,,178,2.72,0
N/A,,Unknown Plot #,179,26.686,0
149,,,180,5.904,0.553
119,,,181,6.649,0.711
118,,,182,3.876,0.865
196,,,183,2.613,0.736
N/A,,Unknown Plot #,184,14.285,0.223
155,,,185,3.963,0.167
159,,,186,5.444,0
160,,,187,8.084,0.13
161,,,188,6.734,0
162,,,189,3.8,0
153,,,190,3.398,0.365
154,,,191,9.343,0.296
168,,,192,5.361,0.197
163,,,193,4.801,0
166,,,194,2.877,0.125
167,,,195,5.655,0.15
182,,,196,6.137,0.285
2,,,197,2.966,0.636
N/A,,Unknown Plot #,198,17.937,0.32
175,,,199,6.258,0.48
150,,,200,11.396,0.526
3,,,201,1.048,0.77
176,,,202,7.697,0.54
N/A,,Unknown Plot #,203,3.137,1.047
196,,,204,1.782,1.136
196,,,205,2.478,0.963
196,,,206,1.729,0.822
243,,,207,19.696,0.733
241,,,208,6.899,0.526
196,,,209,2.226,0.746
242,,,210,2.572,0.677
240,,,211,5.786,0.569
N/A,,Unknown Plot #,212,9.068,0.307
N/A,,Unknown Plot #,213,0.949,0.457
232,,,214,17.57,0
N/A,,Unknown Plot #,215,6.269,0.492
233,,,216,8.867,0.254
231,,,217,13.888,0
230,,,218,11.621,0
224,,,219,16.539,0.276
N/A,,Unknown Plot #,220,0.253,0.649
N/A,,Unknown Plot #,221,0.211,0.633
222,,,222,1.584,0.676
23,,,223,1.278,0.826
N/A,,Unknown Plot #,224,0.513,0.875
223,,,225,13.182,0.567
22,,,226,1.016,0.89
229,,,227,9.688,0
225,,,228,3.987,0.325
228,,,229,6.308,0
226,,,230,16.856,0.142
221,,,231,17.698,0.433
N/A,,Unknown Plot #,232,2.799,0.508
218,,,233,9.569,0.442
217,,,234,14.802,0.304
N/A,,Unknown Plot #,235,0.816,0.909
213,,,236,2.493,0.862
196,,,237,7.927,0.87
N/A,,Unknown Plot #,238,0.813,0.82
N/A,,Unknown Plot #,239,0.098,0.808
N/A,,Unknown Plot #,240,0.547,0.797
211,,,241,10.042,0.603
215,,,242,25.373,0.534
216,,,243,7.345,0.462
210,,,244,15.502,0.381
200,,,245,15.446,0.613
209,,,246,11.135,0.347
199,,,247,12.629,0.753
182,,,248,4.898,0.137
207,,,249,8.189,0
208,,,250,11.51,0.238
227,,,251,94.108,0
206,,,252,7.865,0
205,,,253,16.011,0.131
204,,,254,1.776,0.069
204,,,255,4.766,0
201,,,256,8.006,0.529
198,,,257,15.256,0.652
202,,,258,15.083,0.418
203,,,259,17.557,0
197,,,260,6.479,0.737
196,,,261,3.186,0.842
196,,,262,10.472,0.72
196,,,263,10.107,0.438
N/A,,Unknown Plot #,264,0.516,0.721
4,,,265,0.894,0.744
178,,,266,3.894,0.516
5,,,267,1.67,0.664
N/A,,Unknown Plot #,268,0.522,0
179,,,269,3.748,0.485
186,,,270,3.333,0.53
183,,,271,1.809,0.442
165,,Unknown Plot #,272,17.882,0
N/A,,Unknown Plot #,273,3.01,0.279
188,,,274,3.807,0.129
189,,,275,2.967,0.219
N/A,,Unknown Plot #,276,2.316,0.28
N/A,,Unknown Plot #,277,3.818,0.465
N/A,,Unknown Plot #,278,1.413,0.426
187,,,279,2.625,0.493
190,,,280,14.077,0.277
192,,,281,11.926,0.285
191,,,282,9.412,0.508
N/A,,Unknown Plot #,283,1.455,0.682
195,,,284,16.17,0.31
193,,,285,9.151,0.471
N/A,,Unknown Plot #,286,1.508,0.669
N/A,,Unknown Plot #,287,0.668,0.681
194,,,288,10.44,0.551
196,,,289,3.89,0.614
196,,,290,2.931,0.436
196,,,291,5.562,0.053
196,,,292,14.807,1.133
196,,,293,1.165,1.205
196,,,294,4.147,1.164
196,,,295,3.957,1.025
196,,,296,1445.983,0
196,,,297,12.899,0.624
196,,,298,9.289,0.748
196,,,299,9.032,0.871
196,,,300,2.98,1.026
196,,,301,4.576,0.964
