Plot,Flag,sub,pid,area_ac,bnd_km
353,,,223,7.556,0.000
7,,,224,2.112,0.186
12,,,225,1.043,0.139
14,,,226,1.515,0.186
16,,,227,1.377,0.234
17,,,228,2.414,0.294
10,,,229,1.407,0.164
6,,,230,13.056,0.157
355,,,231,4.114,0.073
8,,,232,1.077,0.193
9,,,233,0.967,0.198
354,,,234,7.419,0.000
18,,,235,1.187,0.263
5,,,236,14.042,0.350
3,,,237,2.145,0.649
4,,,238,1.150,0.606
20,,,239,2.386,0.433
26,,,240,2.926,0.674
28,,,241,1.989,0.778
34,,,242,3.315,0.904
27,,,243,2.501,0.692
35,,,244,4.425,0.753
33,,,245,1.659,0.859
21,,,246,2.401,0.404
13,,,247,3.985,0.000
50,,,248,17.232,0.000
48,,,249,1.097,0.304
45,,,250,1.449,0.398
15,,,251,3.409,0.288
42,,,252,1.599,0.490
41,,,253,3.294,0.585
36,,,254,3.309,0.768
37,,,255,4.058,0.681
70,,,256,2.190,0.827
71,,,257,1.760,0.921
72,,,258,1.427,0.972
69,,,259,3.015,0.790
24,,,260,2.566,0.459
47,,,261,1.827,0.353
46,,,262,2.812,0.410
43,,,263,2.666,0.477
40,,,264,3.325,0.581
44,,,265,3.050,0.461
38,,,266,1.370,0.613
68,,,267,2.554,0.722
66,,,268,1.873,0.569
67,,,269,2.358,0.618
76,,,270,3.249,0.986
123,,,271,7.451,0.907
N/A,Unknown Plot #,,272,2.100,0.982
78,,,273,4.151,0.794
80,,,274,2.918,0.883
81,,,275,1.600,0.862
82,,,276,1.368,0.830
120,,,277,2.696,0.786
63,,,278,2.108,0.725
64,,,279,2.856,0.554
52,,,280,2.186,0.450
51,,,281,6.526,0.164
97,,,282,4.940,0.000
2,,,283,0.647,0.239
121,,,284,5.611,0.754
107,,,285,2.531,0.000
106,,,286,3.561,0.000
109,,,287,0.836,0.077
111,,,288,2.726,0.103
105,,,289,4.774,0.000
101,,,290,2.024,0.000
103,,,291,1.531,0.098
103,,,292,3.157,0.145
103,,,293,2.789,0.204
100,,,294,2.823,0.000
102,,,295,9.661,0.069
93,,,296,1.589,0.239
92,,,297,1.640,0.333
56,,,298,3.982,0.260
88,,,299,14.474,0.331
99,,,300,3.632,0.000
98,,,301,0.793,0.084
96,,,302,1.782,0.128
59,,,303,1.517,0.541
58,,,304,2.029,0.374
53,,,305,2.707,0.295
61,,,306,3.644,0.520
62,,,307,1.968,0.665
85,,,308,1.995,0.599
120,,,309,6.285,0.605
84,,,310,1.718,0.694
83,,,311,1.835,0.739
89,,,312,1.944,0.292
87,,,313,2.028,0.472
113,,,314,3.252,0.188
104,,,315,0.959,0.284
114,,,316,3.428,0.253
108,,,317,14.794,0.000
115,,,318,6.731,0.274
86,,,319,6.982,0.552
117,,,320,5.047,0.443
118,,,321,3.125,0.563
119,,,322,22.109,0.477
129,,,323,7.092,0.500
130,,,324,7.213,0.360
131,,,325,5.391,0.233
134,,,326,6.122,0.047
133,,,327,12.328,0.000
154,,,328,6.638,0.298
154,,,329,3.422,0.261
157,,,330,9.550,0.000
141,,,331,12.383,0.335
142,,,332,9.302,0.367
144,,,333,8.188,0.700
154,,,334,5.500,0.716
