plot,subplot,flag,pid,area_ac,bnd_km
93,,,0,5.781,0.692
93,,,1,5.615,0.859
93,,,2,1.263,0.803
98,,,3,16.130,0.529
94,,,4,6.882,0.859
97,,,5,9.262,0.684
96,,,6,10.103,0.552
95,,,7,11.051,0.501
4,,,8,7.189,0.425
112,,,9,6.193,0.192
112,,,10,3.481,0.610
112,,,11,6.251,0.478
112,,,12,0.565,0.447
112,,,13,1.025,0.473
112,,,14,0.470,0.410
112,,,15,4.226,0.353
10,,,16,0.017,0.483
10,,,17,12.332,0.180
5,,,18,6.542,0.199
6,,,19,6.482,0.129
2,,,20,15.940,0.000
1,,,21,22.579,0.000
15,,,22,0.898,0.000
15,,,23,1.548,0.000
15,,,24,1.834,0.000
15,,,25,0.353,0.212
15,,,26,0.350,0.294
15,,,27,0.375,0.292
15,,,28,1.782,0.165
15,,,29,0.821,0.338
15,,,30,0.864,0.257
15,,,31,0.892,0.175
15,,,32,0.364,0.131
15,,,33,3.065,0.234
15,,,34,0.772,0.289
15,,,35,0.691,0.250
15,,,36,1.010,0.181
15,,,37,1.691,0.141
15,,,38,1.864,0.189
15,,,39,2.276,0.071
15,,,40,0.767,0.140
15,,,41,1.376,0.036
8,,,42,1.245,0.000
8,,,43,2.002,0.067
8,,,44,2.053,0.134
8,,,45,1.175,0.053
8,,,46,0.476,0.011
8,,,47,0.885,0.033
8,,,48,1.022,0.000
8,,,49,1.395,0.000
8,,,50,1.757,0.000
8,,,51,2.702,0.000
9,,,52,5.102,0.182
9,,,53,2.456,0.120
9,,,54,0.943,0.039
9,,,55,2.241,0.076
9,,,56,1.187,0.000
9,,,57,1.897,0.097
7,,,58,2.843,0.000
7,,,59,7.356,0.000
9,,,60,0.593,0.354
12,,,61,1.730,0.616
12,,,62,3.559,0.510
12,,,63,13.977,0.283
12,,,64,3.720,0.390
13,,,65,17.156,0.447
14,,,66,6.623,0.241
14,,,67,5.374,0.486
14,,,68,3.342,0.579
14,,,69,4.390,0.406
14,,,70,1.437,0.314
14,,,71,1.601,0.241
14,,,72,0.738,0.378
14,,,73,5.141,0.325
18,,,74,8.237,0.000
17,,,75,60.230,0.000
19,,,76,12.200,0.000
21,,,77,19.599,0.000
20,,,78,15.987,0.000
22,,,79,7.621,0.000
23,,,80,59.239,0.000
25,,,81,1.481,0.000
25,,,82,4.799,0.000
36,,,83,5.906,0.522
36,,,84,4.295,0.281
36,,,85,5.203,0.389
24,,,86,12.410,0.000
36,,,87,3.806,0.570
37,,,88,3.217,0.392
37,,,89,3.541,0.546
37,,,90,5.767,0.422
38,,,91,4.897,0.558
38,,,92,5.883,0.596
38,,,93,4.194,0.543
39,,,94,12.333,0.633
35,,,95,2.469,0.536
35,,,96,2.765,0.448
34,,,97,10.060,0.346
35,,,98,2.923,0.366
35,,,99,4.222,0.212
35,,,100,5.427,0.208
26,,,101,1.833,0.141
26,,,102,2.657,0.140
26,,,103,3.990,0.000
26,,,104,4.529,0.062
28,,,105,4.828,0.000
28,,,106,7.891,0.000
27,,,107,6.650,0.235
27,,,108,1.792,0.115
27,,,109,3.060,0.159
27,,,110,1.599,0.179
27,,,111,3.770,0.000
33,,,112,7.369,0.407
302,,,113,6.206,0.000
302,,,114,4.258,0.266
302,,,115,5.891,0.180
302,,,116,3.639,0.112
302,,,117,4.991,0.035
302,,,118,5.586,0.000
29,,,119,6.726,0.266
30,,,120,2.919,0.487
30,,,121,5.280,0.411
30,,,122,2.781,0.294
30,,,123,6.372,0.318
32,,,124,2.537,0.641
32,,,125,4.584,0.498
31,,,126,5.413,0.563
47,,,127,5.632,0.786
46,,,128,5.045,0.759
45,,,129,2.631,0.854
44,,,130,3.625,0.804
63,,,131,10.016,0.615
62,,,132,1.288,0.903
41,,,133,1.798,0.671
41,,,134,4.631,0.698
40,,,135,5.659,0.725
43,,,136,2.744,0.789
42,,,137,2.714,0.856
50,,,138,1.204,0.743
50,,,139,0.756,0.831
50,,,140,0.957,0.895
50,,,141,1.540,0.833
48,,,142,3.790,0.974
51,,,143,1.010,0.938
53,,,144,1.962,1.022
54,,,145,2.796,1.128
49,,,146,2.131,1.002
52,,,147,2.143,0.978
55,,,148,2.744,1.030
56,,,149,3.256,0.979
83,,,150,0.310,0.949
83,,,151,0.706,0.894
84,,,152,1.928,0.829
92,,,153,15.157,0.484
91,,,154,8.481,0.628
91,,,155,8.758,0.570
87,,,156,10.469,0.677
86,,,157,11.266,0.738
82,,,158,10.950,0.855
85,,,159,10.392,0.794
57,,,160,1.737,1.018
57,,,161,3.602,1.120
98,,,162,3.991,0.741
3,,,163,3.983,0.000
3,,,164,8.802,0.000
3,,,165,10.494,0.146
3,,,166,5.046,0.421
3,,,167,5.714,0.175
3,,,168,0.729,0.192
3,,,169,2.269,0.187
3,,,170,5.201,0.324
90,,,171,20.649,0.907
89,,,172,11.549,1.059
88,,,173,11.514,1.074
79,,,174,4.313,1.390
80,,,175,12.728,1.235
81,,,176,14.192,1.056
58,,,177,25.952,1.184
59,,,178,3.600,1.168
60,,,179,3.873,1.059
76,,,180,2.908,1.183
61,,,181,2.665,1.002
64,,,182,13.957,0.754
65,,,183,8.709,0.514
66,,,184,8.632,0.595
68,,,185,10.655,0.447
301,,,186,3.715,0.229
301,,,187,2.952,0.229
301,,,188,13.745,0.257
303,,,189,37.839,0.000
303,,,190,5.802,0.000
305,,,191,9.330,0.000
303,,,192,6.994,0.000
305,,,193,5.685,0.148
305,,,194,6.247,0.239
306,,,195,30.447,0.000
308,,,196,5.238,0.332
308,,,197,6.809,0.347
308,,,198,4.618,0.337
308,,,199,5.920,0.225
304,,,200,4.903,0.435
304,,,201,4.777,0.412
304,,,202,4.881,0.387
304,,,203,6.713,0.361
404,,,204,10.979,0.331
69,,,205,3.872,0.705
69,,,206,3.771,0.637
69,,,207,3.671,0.578
69,,,208,4.346,0.534
403,,,209,16.923,0.461
70,,,210,12.762,0.701
67,,,211,6.535,0.813
77,,,212,2.134,1.388
77,,,213,3.348,1.247
77,,,214,4.275,1.292
78,,,215,19.169,1.442
75,,,216,0.941,1.131
75,,,217,2.633,1.113
75,,,218,3.647,1.237
75,,,219,2.645,1.237
75,,,220,5.818,1.080
402,,,221,7.614,0.862
400,,,222,6.148,0.911
401,,,223,5.533,0.886
406,,,224,1.510,0.868
405,,,225,14.776,0.460
307,,,226,13.568,0.000
336,,,227,1.736,0.000
336,,,228,4.211,0.000
337,,,229,4.242,0.069
337,,,230,4.737,0.000
337,,,231,2.970,0.000
337,,,232,1.263,0.129
337,,,233,2.549,0.047
337,,,234,6.186,0.144
337,,,235,1.971,0.260
337,,,236,3.278,0.107
339,,,237,20.146,0.000
340,,,238,4.500,0.000
341,,,239,3.475,0.279
341,,,240,5.545,0.158
341,,,241,4.305,0.051
341,,,242,4.908,0.000
341,,,243,25.528,0.165
432,,,244,25.839,0.000
343,,,245,8.414,0.000
345,,,246,8.210,0.000
344,,,247,9.856,0.000
345,,,248,9.269,0.000
346,,,249,4.350,0.227
347,,,250,23.077,0.172
350,,,251,4.764,0.212
350,,,252,5.624,0.000
350,,,253,4.158,0.264
350,,,254,6.691,0.000
351,,,255,2.872,0.181
351,,,256,4.043,0.187
351,,,257,1.677,0.219
351,,,258,2.766,0.194
351,,,259,1.026,0.128
351,,,260,1.266,0.086
351,,,261,1.684,0.035
351,,,262,2.707,0.000
353,,,263,4.117,0.000
352,,,264,21.448,0.070
354,,,265,1.611,0.000
354,,,266,8.368,0.000
354,,,267,3.785,0.000
394,,,268,4.721,0.000
394,,,269,5.181,0.000
394,,,270,5.811,0.000
355,,,271,3.224,0.290
355,,,272,4.065,0.195
356,,,273,4.870,0.368
356,,,274,5.146,0.462
349,,,275,11.184,0.510
349,,,276,11.511,0.450
348,,,277,1.652,0.360
348,,,278,1.698,0.473
348,,,279,3.430,0.248
348,,,280,1.255,0.252
348,,,281,5.233,0.288
348,,,282,5.785,0.257
348,,,283,0.412,0.594
348,,,284,0.412,0.640
348,,,285,0.640,0.644
363,,,286,5.777,0.526
363,,,287,5.194,0.431
363,,,288,1.918,0.344
363,,,289,3.359,0.371
362,,,290,3.979,0.781
362,,,291,4.906,0.663
362,,,292,3.618,0.598
362,,,293,3.302,0.543
362,,,294,4.128,0.472
362,,,295,4.430,0.323
357,,,296,15.588,0.556
357,,,297,14.364,0.573
393,,,298,2.844,0.279
387,,,299,6.999,0.352
387,,,300,5.876,0.367
387,,,301,4.219,0.372
387,,,302,2.772,0.379
387,,,303,3.853,0.376
393,,,304,3.981,0.276
393,,,305,4.045,0.257
395,,,306,15.251,0.000
392,,,307,4.686,0.208
392,,,308,4.452,0.120
392,,,309,4.560,0.000
392,,,310,5.563,0.069
388,,,311,19.270,0.144
390,,,312,4.273,0.000
391,,,313,13.247,0.000
389,,,314,5.456,0.108
386,,,315,5.148,0.263
386,,,316,0.196,0.248
386,,,317,0.260,0.248
386,,,318,8.399,0.570
386,,,319,14.936,0.249
381,,,320,2.864,0.034
381,,,321,3.368,0.000
381,,,322,4.952,0.000
383,,,323,4.563,0.210
383,,,324,10.364,0.203
382,,,325,13.044,0.087
384,,,326,21.338,0.324
371,,,327,26.852,0.541
385,,,328,8.910,0.351
360,,,329,2.178,0.867
360,,,330,3.940,0.541
