Id,Plot,subplot,flag,pid,area_ac,bnd_km
0,28,,,0,9.100,0.000
0,27,,,1,10.227,0.000
0,26,,,2,9.286,0.000
0,30,,,3,9.383,0.000
0,29,,,4,10.738,0.090
0,32,,,5,6.571,0.158
0,31,,,6,5.106,0.000
0,36,,,7,6.073,0.000
0,35,,,8,5.938,0.053
0,37,,,9,4.325,0.000
0,47,,,10,6.529,0.000
0,48,,,11,5.866,0.000
0,49,,,12,4.765,0.000
0,50,,,13,6.976,0.000
0,52,,,14,6.736,0.000
0,51,,,15,4.127,0.000
0,153,,,16,4.676,0.000
0,152,,,17,0.521,0.000
0,154,,,18,6.779,0.000
0,155,,,19,4.434,0.000
0,156,,,20,6.969,0.096
0,161,,,21,5.041,0.000
0,160,,,22,5.745,0.174
0,163,,,23,4.543,0.187
0,162,,,24,6.007,0.000
0,165,,,25,5.063,0.307
0,164,,,26,7.603,0.109
0,166,,,27,5.480,0.429
0,167,,,28,6.188,0.269
0,168,,,29,4.494,0.317
0,159,,,30,5.080,0.356
0,157,,,31,5.373,0.292
0,150,,,32,6.099,0.135
0,149,,,33,6.114,0.170
0,151,,,34,1.371,0.126
0,148,,,35,6.699,0.240
0,54,,,36,11.963,0.146
0,55,,,37,5.320,0.217
0,38,,,38,4.776,0.124
0,46,,,39,6.077,0.138
0,39,,,40,0.606,0.233
0,25,,,41,10.528,0.153
0,24,,,42,10.019,0.073
0,33,,,43,6.542,0.253
0,23,,,44,11.417,0.000
0,22,,,45,13.395,0.290
0,34,,,46,5.491,0.212
0,21,,,47,10.049,0.334
0,10,,,48,19.436,0.325
0,9,,,49,22.240,0.000
0,11,,,50,15.061,0.068
0,8,,,51,15.051,0.000
0,7,,,52,13.177,0.000
0,6,,,53,29.282,0.000
0,12,,,54,20.734,0.339
0,40,,,55,4.990,0.351
0,20,,,56,12.449,0.462
0,17,,,57,9.447,0.586
0,16,,,58,10.308,0.541
0,5,,,59,26.202,0.308
0,13,,,60,16.574,0.539
0,15,,,61,10.041,0.709
0,14,,,62,9.721,0.761
0,4,,,63,19.972,0.601
0,84,,,64,12.930,0.603
0,83,,,65,18.551,0.869
0,71,,,66,6.816,0.879
0,19,,,67,2.502,0.640
0,42,,,68,9.546,0.542
0,41,,,69,1.832,0.390
0,45,,,70,7.284,0.306
0,18,,,71,0.835,0.866
0,43,,,72,13.330,0.563
0,56,,,73,5.519,0.327
0,57,,,74,5.465,0.273
0,58,,,75,5.176,0.275
0,59,,,76,0.662,0.295
0,60,,,77,2.802,0.368
0,141,,,78,5.525,0.413
0,145,,,79,0.511,0.359
0,146,,,80,3.984,0.304
0,147,,,81,4.943,0.465
0,158,,,82,4.609,0.514
0,169,,,83,5.043,0.449
0,170,,not all field,84,4.421,0.447
0,44,,,85,0.873,0.517
0,64,,,86,0.745,0.546
0,63,,not field,87,4.937,0.402
0,62,,,88,11.683,0.407
0,61,,,89,12.187,0.445
0,139,,,90,7.416,0.553
0,144,,,91,0.962,0.513
0,142,,,92,5.826,0.533
0,137,,,93,7.269,0.663
0,140,,unclear boundaies,94,0.589,0.542
0,136,,,95,5.543,0.684
0,133,,,96,9.135,0.757
0,143,,,97,0.569,0.671
0,171,,,98,0.487,0.569
0,132,,,99,1.615,0.629
0,130,,,100,4.560,0.582
0,,,unclear,101,54.531,0.000
