plot,subplot,flag,pid,area_ac,bnd_km
165,,,222,4.852,0.000
161,,,223,18.662,0.024
160,,,224,16.367,0.000
360,,,225,2.075,0.357
N/A,,Unknown Plot #,226,0.908,0.351
178,,,227,3.452,0.399
179,,,228,1.816,0.479
180,,,229,5.675,0.515
158,,,230,10.158,0.054
157,,,231,21.041,0.000
232,,,232,11.355,0.840
228,,,233,11.038,1.047
230,,,234,16.660,0.863
231,,,235,9.219,0.757
229,,,236,2.320,0.902
28,,Mislabeled Plot #,237,4.364,0.305
240,,,238,1.830,0.469
249,,,239,1.526,0.372
248,,,240,2.688,0.584
N/A,,Unknown Plot #,241,2.878,0.521
248,,,242,2.002,0.604
248,,,243,61.416,0.088
N/A,,Unknown Plot #,244,14.375,0.656
251,,,245,13.293,0.593
257,,,246,11.054,0.166
254,,,247,9.645,0.272
262,,,248,15.063,0.332
263,,,249,8.009,0.643
253,,,250,7.391,0.450
252,,,251,4.884,0.658
226,,,252,3.344,0.863
281,,,253,9.056,1.133
281,,,254,0.000,-0.001
282,,,255,6.710,1.103
285,,,256,2.020,1.218
284,,,257,2.757,1.225
326,,,258,2.825,1.217
N/A,,Unknown Plot #,259,0.518,1.147
323,,,260,1.418,1.087
329,,,261,2.376,1.146
330,,,262,3.340,1.229
280,,,263,6.629,0.996
279,,,264,1.886,0.923
333,,,265,2.525,1.005
278,,,266,2.147,0.874
277,,,267,1.386,0.899
332,,,268,16.402,1.119
335,,,269,4.363,1.100
334,,,270,7.413,0.991
N/A,,Unknown Plot #,271,1.422,1.058
351,,,272,3.131,1.128
349,,,273,1.178,1.243
355,,,274,3.577,0.990
N/A,,Unknown Plot #,275,1.215,0.956
342,,,276,0.030,0.990
348,,,277,2.810,1.156
N/A,,Unknown Plot #,278,0.684,1.262
344,,,279,2.656,1.169
343,,,280,2.786,1.046
339,,,281,1.565,1.140
336,,,282,15.585,1.033
340,,,283,9.154,1.012
51,,,284,6.468,0.860
1,,Mislabeled Plot #,285,4.449,0.864
49,,,286,1.429,0.781
53,,,287,6.411,0.680
156,,,288,16.043,0.000
273,,,289,2.722,0.906
275,,,290,5.998,0.799
N/A,,Unknown Plot #,291,7.113,0.766
258,,,292,7.894,1.110
314,,,293,1.942,1.114
N/A,,Unknown Plot #,294,1.055,1.040
315,,,295,3.105,1.082
316,,,296,2.675,1.021
319,,,297,2.575,0.898
303,,,298,1.749,0.939
N/A,,Unknown Plot #,299,2.308,0.490
132,,,300,4.256,0.430
130,,,301,4.623,0.305
147,,,302,3.592,0.210
129,,,303,4.081,0.421
57,,,304,1.070,0.553
56,,,305,1.718,0.530
49,,,306,7.300,0.581
53,,,307,6.608,0.470
51,,,308,2.135,0.818
50,,,309,6.787,0.594
N/A,,Unknown Plot #,310,1.154,0.903
55,,,311,8.417,0.374
152,,,312,2.025,0.225
153,,,313,2.529,0.237
154,,,314,4.316,0.311
48,,,315,42.722,0.000
155,,,316,3.039,0.294
45,,,317,1.350,0.514
44,,,318,1.498,0.541
47,,,319,1.326,0.417
46,,,320,2.973,0.387
42,,,321,1.444,0.415
N/A,,Unknown Plot #,322,18.380,0.271
296,,,323,1.818,0.839
298,,,324,1.605,0.860
N/A,,Unknown Plot #,325,2.453,1.005
318,,,326,1.208,0.980
299,,,327,1.966,0.928
300,,,328,1.985,0.840
N/A,,Unknown Plot #,329,6.296,0.800
8,,,330,1.395,0.756
7,,,331,0.981,0.732
9,,,332,2.066,0.637
10,,,333,1.424,0.680
11,,,334,1.958,0.590
6,,,335,1.332,0.713
16,,,336,1.843,0.496
16,,,337,0.000,-0.001
13,,,338,1.525,0.610
3,,,339,1.154,0.752
5,,,340,1.126,0.689
17,,,341,1.226,0.403
18,,,342,2.232,0.361
23,,,343,1.723,0.462
19,,,344,3.190,0.333
27,,,345,1.385,0.580
N/A,,Unknown Plot #,346,1.045,0.639
21,,,347,0.663,0.462
25,,,348,3.157,0.500
159,,,349,4.484,0.101
39,,,350,1.202,0.527
20,,,351,2.411,0.437
40,,,352,2.322,0.479
41,,,353,5.000,0.332
2,,,354,1.563,0.677
1,,,355,1.779,0.746
26,,,356,1.104,0.672
37,,,357,1.605,0.581
359,,,358,1.771,0.763
N/A,,Unknown Plot #,359,1.703,0.670
32,,,360,1.240,0.761
358,,,361,3.912,0.799
33,,,362,0.620,0.746
125,,,363,0.660,0.960
226,,,364,1.431,0.977
327,,,365,2.790,1.178
N/A,,Unknown Plot #,366,1.317,0.943
N/A,,Unknown Plot #,367,0.181,1.028
N/A,,Unknown Plot #,368,0.547,0.847
N/A,,Unknown Plot #,369,0.475,0.792
N/A,,Unknown Plot #,370,0.620,1.000
N/A,,Unknown Plot #,371,0.684,0.912
N/A,,Unknown Plot #,372,0.486,1.071
N/A,,Unknown Plot #,373,0.501,0.385
128,,,374,2.242,0.465
128,,,375,2.783,0.407
N/A,,Unknown Plot #,376,2.475,0.359
N/A,,Unknown Plot #,377,0.556,0.262
54,,,378,0.618,0.370
N/A,,Unknown Plot #,379,0.485,1.235
N/A,,Unknown Plot #,380,0.863,1.263
61,,,381,0.677,1.176
N/A,,Unknown Plot #,382,0.608,0.817
57,,,383,0.303,0.644
171,,,384,0.517,0.185
292,,,385,0.604,0.943
N/A,,Unknown Plot #,386,2.061,0.874
N/A,,Unknown Plot #,387,1.172,1.105
N/A,,Unknown Plot #,388,0.887,1.087
N/A,,Unknown Plot #,389,0.957,1.049
N/A,,Unknown Plot #,390,1.390,1.004
N/A,,Unknown Plot #,391,1.253,0.809
N/A,,Unknown Plot #,392,0.450,0.782
N/A,,Unknown Plot #,393,0.600,0.813
167,,,394,0.996,0.098
173,,,395,1.839,0.183
168,,,396,1.271,0.129
247,,,397,3.400,0.016
N/A,,Unknown Plot #,398,0.284,0.252
N/A,,Unknown Plot #,399,0.499,0.607
249,,,400,4.146,0.458
250,,,401,18.892,0.324
248,,,402,4.085,0.503
248,,,403,0.337,0.599
N/A,,Unknown Plot #,404,0.542,0.838
N/A,,Unknown Plot #,405,0.473,0.967
N/A,,Unknown Plot #,406,1.381,0.849
N/A,,Unknown Plot #,407,0.471,0.928
N/A,,Unknown Plot #,408,0.198,1.279
N/A,,Unknown Plot #,409,0.299,1.263
352,,,410,1.089,1.052
342,,,411,0.934,0.980
N/A,,Unknown Plot #,412,0.336,1.126
N/A,,Unknown Plot #,413,1.033,0.980
N/A,,Unknown Plot #,414,0.672,0.949
N/A,,Unknown Plot #,415,0.293,0.949
N/A,,Unknown Plot #,416,0.468,0.723
N/A,,Unknown Plot #,417,0.676,0.708
N/A,,Unknown Plot #,418,1.578,0.603
N/A,,Unknown Plot #,419,0.709,0.732
26,,,420,1.385,0.632
313,,,421,0.944,1.092
N/A,,Unknown Plot #,422,1.187,0.986
N/A,,Unknown Plot #,423,0.915,0.940
300,,,424,0.920,0.976
N/A,,Unknown Plot #,425,0.584,0.896
N/A,,Unknown Plot #,426,1.454,0.551
N/A,,Unknown Plot #,427,0.479,0.581
24,,,428,1.069,0.526
N/A,,Unknown Plot #,429,0.934,0.637
N/A,,Unknown Plot #,430,1.020,0.512
N/A,,Unknown Plot #,431,0.659,0.482
N/A,,Unknown Plot #,432,4.293,0.262
N/A,,Unknown Plot #,433,5.449,0.000
N/A,,Unknown Plot #,434,6.002,0.658
N/A,,Unknown Plot #,435,0.600,0.600
N/A,,Unknown Plot #,436,4.541,0.000
N/A,,Unknown Plot #,437,1.489,0.172
N/A,,Unknown Plot #,438,47.024,0.000
N/A,,Unknown Plot #,439,3.796,0.121
N/A,,Unknown Plot #,440,1.976,0.322
N/A,,Unknown Plot #,441,2.285,0.522
100,,,442,1.755,0.046
