Plot,Sub,Flag,pid,area_ac,bnd_km
740,,,226,5.675,498.857
732,,,227,14.941,452.536
786,,,228,2.466,124.661
786,,,229,1.125,77.088
786,,,230,1.534,75.753
786,,,231,1.728,339.717
788,,,232,1.834,413.764
788,,,233,3.570,404.996
787,,,234,0.297,382.304
787,,,235,2.657,179.579
787,,,236,0.722,386.355
787,,,237,0.933,200.157
787,,,238,5.178,185.521
786,,,239,0.276,370.578
785,,,240,0.605,73.207
785,,,241,0.928,59.031
787,,,242,2.156,127.789
785,,,243,3.371,0.000
785,,,244,0.489,51.001
785,,,245,0.556,43.658
785,,,246,0.818,34.140
790,,,247,3.066,0.000
790,,,248,5.043,18.445
790,,,249,0.721,0.000
789,,,250,0.802,203.722
789,,,251,1.903,309.372
789,,,252,1.301,308.142
789,,,253,1.492,308.181
789,,,254,1.884,317.546
789,,,255,3.614,223.372
789,,,256,0.275,401.502
789,,,257,0.757,480.769
741,,,258,3.606,434.308
741,,,259,0.661,431.373
741,,,260,1.398,421.088
793,,,261,0.588,401.502
793,,,262,2.110,223.943
793,,,263,2.595,230.280
793,,,264,0.928,256.693
793,,,265,2.140,238.188
791,,,266,2.665,20.792
793,,,267,1.184,203.722
791,,,268,0.886,0.000
791,,,269,2.503,20.325
791,,,270,2.676,19.875
792,,,271,2.932,155.081
792,,,272,5.804,19.942
742,,,273,1.365,220.787
742,,,274,5.173,310.303
746,,,275,71.592,0.000
744,,,276,9.632,0.000
743,,,277,12.646,138.027
737,,,278,10.641,0.000
745,,,279,6.399,0.000
736,,,280,10.783,0.000
624,,,281,11.856,0.000
611,,,282,14.404,0.000
625,,,283,1.106,0.000
626,,,284,5.920,0.000
627,,,285,1.830,120.683
627,,,286,3.285,281.391
627,,,287,3.946,357.671
627,,,288,1.352,452.483
627,,,289,0.697,463.330
627,,,290,1.460,456.470
627,,,291,4.059,189.302
628,,,292,2.171,0.000
628,,,293,3.181,0.000
628,,,294,3.434,51.224
627,,,295,2.006,75.866
627,,,296,1.790,155.431
628,,,297,12.455,0.000
628,,,298,3.377,162.417
628,,,299,3.495,105.254
629,,,300,9.303,0.000
629,,,301,9.502,0.000
630,,,302,6.990,0.000
630,,,303,9.617,0.000
630,,,304,6.258,0.000
631,,,305,12.446,142.963
632,,,306,6.330,155.821
633,,,307,7.821,0.000
634,,,308,4.252,0.000
635,,,309,1.184,0.000
610,,,310,15.115,0.000
609,,,311,2.939,0.000
609,,,312,9.266,0.000
604,,,313,1.544,0.000
603,,,314,5.005,0.000
602,,,315,10.304,0.000
600,,,316,15.027,117.443
601,,,317,16.549,0.000
608,,,318,28.883,49.709
607,,,319,6.681,48.864
607,,,320,10.665,64.205
607,,,321,11.293,57.669
606,,,322,5.714,554.430
606,,,323,22.079,38.577
503,,,324,19.031,38.577
504,,,325,10.285,91.630
504,,,326,10.631,159.211
506,,,327,2.600,634.020
506,,,328,5.678,635.062
508,,,329,6.384,442.877
508,,,330,9.878,248.667
507,,,331,10.253,436.352
502,,,332,8.233,0.000
509,,,333,2.441,593.199
509,,,334,4.714,536.136
509,,,335,7.391,641.470
482,,,336,5.951,638.818
482,,,337,2.552,719.464
482,,,338,2.650,802.554
514,,,339,7.649,775.239
514,,,340,2.703,707.283
514,,,341,4.599,605.813
505,,,342,5.434,799.044
599,,,343,9.254,297.127
605,,,344,18.483,189.001
516,,,345,1.932,947.509
598,,,346,10.606,633.209
516,,,347,5.904,1014.317
515,,,348,14.319,634.572
599,,,349,9.642,477.851
596,,,350,11.553,239.950
597,,,351,10.456,518.606
594,,,352,11.853,523.748
591,,,353,7.621,121.800
591,,,354,1.605,314.143
595,,,355,9.998,239.950
591,,,356,11.002,0.000
590,,,357,3.040,53.650
589,,,358,11.172,0.000
588,,,359,25.109,0.000
586,,,360,1.613,418.757
586,,,361,2.981,289.899
586,,,362,1.614,210.576
586,,,363,1.651,233.204
586,,,364,1.270,236.159
586,,,365,2.203,220.228
586,,,366,0.735,161.651
586,,,367,3.309,397.650
586,,,368,3.346,331.186
586,,,369,3.170,246.953
587,,,370,3.723,0.000
587,,,371,4.970,0.000
587,,,372,3.562,0.000
587,,,373,6.193,0.000
586,,,374,1.821,171.526
585,,,375,10.345,0.000
585,,,376,11.653,0.000
584,,,377,28.130,0.000
583,,,378,16.980,0.000
582,,,379,23.384,0.000
580,,,380,2.400,159.799
580,,,381,2.718,188.815
581,,,382,11.941,325.458
580,,,383,5.178,282.215
580,,,384,2.571,211.170
574,,,385,16.652,415.494
579,,,386,6.233,128.204
577,,,387,7.535,40.556
575,,,388,18.666,71.701
578,,,389,10.652,0.000
576,,,390,21.622,0.000
572,,,391,7.350,552.114
573,,,392,6.620,581.978
570,,,393,3.121,408.337
570,,,394,3.835,454.092
538,,,395,1.797,583.830
538,,,396,2.341,486.330
538,,,397,2.694,551.886
571,,,398,16.550,144.133
570,,,399,7.870,192.706
538,,,400,18.499,262.041
536,,,401,1.827,797.967
536,,,402,0.156,681.902
538,,,403,2.719,607.772
536,,,404,0.643,789.471
536,,,405,0.408,789.662
536,,,406,1.179,800.704
536,,,407,1.340,700.644
536,,,408,2.702,700.644
