plot,subplot,flag,pid,area_ac,bnd_km
14,,,0,5.566,0.242
14,,,1,4.915,0.347
18,,,2,1.749,0.259
18,,,3,3.448,0.397
18,,,4,3.385,0.246
18,,,5,1.672,0.340
15,,,6,14.131,0.000
15,,,7,2.518,0.136
20,,,8,7.582,0.460
15,,,9,2.192,0.113
20,,,10,1.194,0.614
9,,,11,4.196,0.469
9,,,12,4.769,0.498
7,,,13,4.541,0.435
7,,,14,5.766,0.364
11,,,15,7.109,0.215
11,,,16,3.512,0.309
16,,,17,8.934,0.000
24,,,18,9.683,0.440
25,,,19,2.301,0.533
25,,,20,2.463,0.525
3,,,21,2.778,0.162
3,,,22,4.470,0.123
3,,,23,2.042,0.233
537,,,24,0.881,0.137
537,,,25,2.759,0.000
537,,,26,2.770,0.023
537,,,27,3.839,0.000
515,,,28,2.749,0.233
515,,,29,1.689,0.239
515,,,30,6.296,0.000
537,,,31,14.917,0.000
515,,,32,9.545,0.000
515,,,33,6.673,0.000
515,,,34,3.839,0.181
516,,,35,4.538,0.310
516,,,36,10.280,0.252
518,,,37,5.729,0.346
514,,,38,2.031,0.168
513,,,39,4.654,0.000
513,,,40,4.220,0.000
513,,,41,5.297,0.080
514,,,42,19.176,0.000
517,,,43,5.463,0.284
513,,,44,2.651,0.162
512,,,45,20.936,0.000
509,,,46,13.294,0.296
510,,,47,16.191,0.124
507,,,48,4.402,0.000
507,,,49,5.935,0.000
508,,,50,6.482,0.237
507,,,51,3.706,0.074
511,,,52,12.818,0.000
505,,,53,8.715,0.138
508,,,54,14.241,0.000
504,,,55,3.782,0.461
504,,,56,5.599,0.419
504,,,57,3.179,0.400
504,,,58,4.731,0.371
505,,,59,8.389,0.192
503,,,60,15.390,0.460
130,,,61,1.662,0.794
130,,,62,3.339,0.760
522,,,63,17.339,0.479
130,,,64,3.743,0.775
129,,,65,1.650,0.725
129,,,66,4.057,0.525
523,,,67,13.923,0.406
521,,,68,19.947,0.392
520,,,69,1.022,0.473
520,,,70,6.762,0.418
520,,,71,1.259,0.487
531,,,72,0.000,-0.001
532,,,73,6.105,0.238
532,,,74,3.165,0.217
531,,,75,2.182,0.341
531,,,76,3.866,0.352
533,,,77,11.905,0.000
530,,,78,3.919,0.271
530,,,79,6.615,0.231
529,,,80,5.174,0.000
529,,,81,8.775,0.000
22,,,82,3.132,0.338
22,,,83,1.648,0.457
22,,,84,3.586,0.343
21,,,85,2.481,0.583
21,,,86,3.837,0.345
21,,,87,3.846,0.410
305,,,88,1.748,0.612
308,,,89,1.109,0.664
308,,,90,0.477,0.716
23,,,91,12.212,0.554
305,,,92,6.825,0.413
308,,,93,0.561,0.707
308,,,94,1.003,0.671
308,,,95,0.327,0.685
308,,,96,0.430,0.716
308,,,97,0.720,0.713
308,,,98,0.579,0.715
308,,,99,0.591,0.720
302,,,100,4.180,0.497
302,,,101,5.637,0.517
27,,,102,12.445,0.249
4,,,103,2.486,0.339
4,,,104,5.643,0.331
26,,,105,1.367,0.395
6,,,106,3.914,0.073
6,,,107,5.075,0.175
8,,,108,9.191,0.266
6,,,109,2.995,0.329
6,,,110,11.759,0.119
13,,,111,6.425,0.055
13,,,112,4.992,0.180
12,,,113,9.341,0.000
1,,,114,144.332,0.000
536,,,115,14.688,0.000
535,,,116,4.733,0.000
535,,,117,6.606,0.000
534,,,118,15.032,0.132
519,,,119,15.334,0.347
493,,,120,6.794,0.322
493,,,121,4.128,0.256
493,,,122,4.544,0.181
486,,,123,2.912,0.109
486,,,124,3.194,0.079
486,,,125,4.646,0.029
486,,,126,3.279,0.000
486,,,127,3.828,0.000
493,,,128,3.208,0.158
486,,,129,4.448,0.000
487,,,130,13.343,0.258
492,,,131,6.544,0.336
492,,,132,9.046,0.348
494,,,133,4.796,0.493
502,,,134,7.088,0.664
494,,,135,9.630,0.524
501,,,136,6.873,0.720
501,,,137,2.303,0.792
501,,,138,4.005,0.719
500,,,139,0.980,0.893
500,,,140,4.082,0.934
500,,,141,4.432,0.942
131,,,142,1.588,0.693
131,,,143,1.863,0.684
500,,,144,3.366,0.898
128,,,145,2.277,0.521
128,,,146,2.976,0.495
128,,,147,1.366,0.462
128,,,148,2.219,0.471
131,,,149,1.392,0.756
131,,,150,1.652,0.726
131,,,151,1.318,0.711
128,,,152,1.000,0.459
128,,,153,3.311,0.541
132,,,154,1.713,0.713
132,,,155,3.126,0.800
528,,,156,8.154,0.000
527,,,157,2.098,0.125
