plot,sub,flag,pid,area_ac,bnd_km
26,,,0,164.835,0.000
490,,,1,10.737,0.000
488,,,2,10.416,0.000
480,,,3,0.766,0.000
480,,,4,1.650,0.000
480,,,5,1.177,0.000
480,,,6,1.482,0.078
480,,,7,2.111,0.000
480,,,8,2.395,0.000
479,,,9,0.744,0.090
479,,,10,3.468,0.000
479,,,11,1.993,0.000
404,,,12,4.266,0.000
404,,,13,0.288,0.085
404,,,14,0.814,0.065
479,,,15,3.529,0.000
404,,,16,2.168,0.104
405,,,17,2.618,0.000
401,,,18,2.529,0.000
401,,,19,1.332,0.000
401,,,20,1.046,0.000
401,,,21,0.563,0.000
401,,,22,0.957,0.000
401,,,23,1.272,0.000
400,,,24,4.817,0.104
400,,,25,1.262,0.060
400,,,26,1.679,0.000
397,,,27,1.144,0.000
397,,,28,4.214,0.003
397,,,29,0.647,0.000
397,,,30,1.281,0.000
397,,,31,1.891,0.073
397,,,32,1.929,0.075
397,,,33,2.326,0.000
400,,,34,0.893,0.000
397,,,35,1.521,0.042
392,,,36,11.236,0.000
393,,,37,9.378,0.000
388,,,38,1.527,0.000
388,,,39,2.814,0.000
388,,,40,9.483,0.000
560,,,41,155.364,0.000
493,,,42,7.451,0.917
492,,,43,34.314,0.682
499,,,44,2.211,0.711
499,,,45,3.786,0.703
499,,,46,4.457,0.682
491,,,47,23.906,0.455
561,,,48,6.786,0.440
559,,,49,2.513,0.000
559,,,50,1.406,0.055
559,,,51,0.325,0.156
559,,,52,1.133,0.098
559,,,53,1.747,0.000
559,,,54,1.700,0.000
559,,,55,3.150,0.000
559,,,56,5.203,0.054
580,,,57,176.884,0.000
559,,,58,10.030,0.055
559,,,59,4.714,0.055
552,,,60,0.372,0.023
552,,,61,0.705,0.000
552,,,62,1.132,0.000
553,,,63,16.874,0.000
552,,,64,1.236,0.000
538,,,65,0.600,0.000
538,,,66,1.011,0.000
538,,,67,7.166,0.000
552,,,68,2.696,0.032
538,,,69,0.319,0.041
538,,,70,0.162,0.076
538,,,71,0.927,0.000
538,,,72,3.217,0.000
590,,,73,1.029,0.000
536,,,74,3.593,0.037
536,,,75,1.496,0.000
536,,,76,1.634,0.004
590,,,77,3.096,0.000
537,,,78,4.607,0.126
539,,,79,0.650,0.145
539,,,80,2.621,0.125
539,,,81,1.027,0.226
590,,,82,4.903,0.000
537,,,83,0.650,0.268
537,,,84,4.271,0.125
542,,,85,1.048,0.162
542,,,86,3.069,0.332
579,,,87,2.664,0.000
539,,,88,1.177,0.201
539,,,89,2.051,0.271
542,,,90,1.910,0.149
542,,,91,0.446,0.307
542,,,92,1.144,0.299
542,,,93,2.286,0.232
540,,,94,0.687,0.367
540,,,95,1.593,0.316
540,,,96,2.124,0.313
540,,,97,15.053,0.315
383,,,98,14.225,0.000
382,,,99,7.631,0.000
375,,,100,0.604,0.000
375,,,101,4.160,0.053
375,,,102,4.196,0.087
374,,,103,8.897,0.000
373,,,104,3.315,0.000
373,,,105,6.918,0.000
367,,,106,3.366,0.000
365,,,107,0.756,0.000
365,,,108,2.661,0.000
365,,,109,3.344,0.000
364,,,110,0.432,0.000
364,,,111,6.113,0.137
566,,,112,0.757,0.000
364,,,113,1.420,0.000
364,,,114,0.873,0.127
351,,,115,8.301,0.118
360,,,116,7.453,0.000
351,,,117,2.114,0.000
351,,,118,4.927,0.037
350,,,119,6.117,0.000
350,,,120,4.234,0.000
350,,,121,2.079,0.121
350,,,122,0.755,0.190
350,,,123,0.935,0.193
349,,,124,2.867,0.000
349,,,125,1.333,0.158
349,,,126,3.453,0.000
349,,,127,0.455,0.196
349,,,128,1.619,0.199
349,,,129,1.126,0.140
348,,,130,3.792,0.172
349,,,131,2.802,0.000
347,,,132,1.116,0.221
347,,,133,1.388,0.228
347,,,134,1.053,0.000
348,,,135,8.539,0.000
347,,,136,4.839,0.300
347,,,137,2.532,0.139
347,,,138,3.340,0.000
345,,,139,2.210,0.000
345,,,140,2.193,0.000
345,,,141,1.805,0.000
345,,,142,2.061,0.000
344,,,143,0.332,0.000
344,,,144,0.478,0.078
344,,,145,4.865,0.000
344,,,146,5.271,0.000
342,,,147,12.723,0.000
12,,,148,3.167,0.197
12,,,149,1.681,0.023
11,,,150,6.542,0.000
340,,,151,10.188,0.000
12,,,152,2.417,0.000
10,,,153,3.039,0.000
10,,,154,7.060,0.038
10,,,155,3.140,0.151
10,,,156,1.152,0.185
10,,,157,1.053,0.170
10,,,158,0.940,0.164
10,,,159,0.971,0.159
10,,,160,1.062,0.153
12,,,161,3.227,0.154
1,,,162,1.144,0.000
1,,,163,0.583,0.117
10,,,164,2.737,0.190
10,,,165,1.097,0.177
1,,,166,3.730,0.000
1,,,167,0.180,0.157
2,,,168,3.732,0.000
2,,,169,0.922,0.086
2,,,170,0.684,0.099
2,,,171,4.261,0.000
2,,,172,0.449,0.000
2,,,173,1.795,0.000
3,,,174,1.633,0.233
3,,,175,12.533,0.000
1,,,176,5.478,0.000
1,,,177,1.288,0.084
51,,,178,4.266,0.102
25,,,179,0.890,0.479
25,,,180,1.303,0.534
26,,,181,0.306,0.559
24,,,182,4.119,0.589
27,,,183,1.292,0.578
51,,,184,0.881,0.514
51,,,185,0.687,0.451
51,,,186,0.150,0.456
51,,,187,0.406,0.456
51,,,188,0.679,0.367
51,,,189,0.235,0.365
51,,,190,0.898,0.354
51,,,191,1.210,0.453
51,,,192,1.097,0.186
51,,,193,2.642,0.165
51,,,194,1.706,0.000
51,,,195,58.691,0.000
23,,,196,0.171,0.776
22,,,197,0.193,0.796
52,,,198,5.355,0.000
53,,,199,0.938,0.130
53,,,200,0.957,0.082
53,,,201,1.139,0.042
53,,,202,1.484,0.000
52,,,203,3.527,0.000
54,,,204,1.821,0.000
54,,,205,8.186,0.000
53,,,206,9.164,0.000
70,,,207,10.704,0.000
71,,,208,12.285,0.000
72,,,209,1.972,0.000
74,,,210,11.599,0.000
73,,,211,1.021,0.000
73,,,212,0.442,0.000
73,,,213,3.296,0.000
73,,,214,1.594,0.000
73,,,215,1.591,0.000
73,,,216,1.822,0.000
75,,,217,1.597,0.272
75,,,218,9.529,0.000
76,,,219,7.049,0.000
77,,,220,2.110,0.000
79,,,221,9.652,0.000
81,,,222,0.866,0.038
78,,,223,12.825,0.000
82,,,224,1.845,0.000
83,,,225,0.252,0.041
86,,,226,1.696,0.295
535,,,227,0.530,0.251
535,,,228,7.541,0.000
535,,,229,0.233,0.130
535,,,230,0.949,0.091
84,,,231,0.783,0.583
84,,,232,22.211,0.000
534,,,233,0.001,0.000
534,,,234,2.584,0.000
534,,,235,0.788,0.081
534,,,236,0.075,0.111
534,,,237,1.349,0.051
534,,,238,17.060,0.115
534,,,239,6.556,0.397
534,,,240,1.563,0.468
534,,,241,2.351,0.500
534,,,242,5.220,0.496
534,,,243,0.235,0.527
534,,,244,0.746,0.503
534,,,245,0.401,0.527
534,,,246,1.353,0.515
534,,,247,2.612,0.562
482,,,248,0.257,0.078
482,,,249,0.871,0.081
481,,,250,1.658,0.103
481,,,251,2.700,0.079
478,,,252,1.602,0.154
478,,,253,1.048,0.300
478,,,254,0.893,0.000
478,,,255,1.045,0.060
476,,,256,2.041,0.000
476,,,257,0.632,0.165
481,,,258,2.703,0.231
481,,,259,3.201,0.142
478,,,260,0.996,0.206
478,,,261,1.675,0.235
478,,,262,1.328,0.273
478,,,263,0.443,0.262
478,,,264,5.432,0.055
487,,,265,5.632,0.156
484,,,266,4.000,0.341
484,,,267,0.485,0.511
484,,,268,0.966,0.458
484,,,269,1.073,0.414
484,,,270,2.506,0.336
